Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,Algeria,28.0339,1.6596,22-04-2020,2910,DZA,2,15,
,Algeria,28.0339,1.6596,21-04-2020,2811,DZA,2,15,
,Algeria,28.0339,1.6596,20-04-2020,2718,DZA,2,15,
,Algeria,28.0339,1.6596,19-04-2020,2629,DZA,2,15,
,Algeria,28.0339,1.6596,18-04-2020,2534,DZA,2,15,
,Algeria,28.0339,1.6596,17-04-2020,2418,DZA,2,15,
,Algeria,28.0339,1.6596,16-04-2020,2268,DZA,2,15,
,Algeria,28.0339,1.6596,15-04-2020,2160,DZA,2,15,
,Algeria,28.0339,1.6596,14-04-2020,2070,DZA,2,15,
,Algeria,28.0339,1.6596,13-04-2020,1983,DZA,2,15,
,Algeria,28.0339,1.6596,12-04-2020,1914,DZA,2,15,
,Algeria,28.0339,1.6596,11-04-2020,1825,DZA,2,15,
,Algeria,28.0339,1.6596,10-04-2020,1761,DZA,2,15,
,Algeria,28.0339,1.6596,09-04-2020,1666,DZA,2,15,
,Algeria,28.0339,1.6596,08-04-2020,1572,DZA,2,15,
,Algeria,28.0339,1.6596,07-04-2020,1468,DZA,2,15,
,Algeria,28.0339,1.6596,06-04-2020,1423,DZA,2,15,
,Algeria,28.0339,1.6596,05-04-2020,1320,DZA,2,15,
,Algeria,28.0339,1.6596,04-04-2020,1251,DZA,2,15,
,Algeria,28.0339,1.6596,03-04-2020,1171,DZA,2,15,
,Algeria,28.0339,1.6596,02-04-2020,986,DZA,2,15,
,Algeria,28.0339,1.6596,01-04-2020,847,DZA,2,15,
,Algeria,28.0339,1.6596,31-03-2020,716,DZA,2,15,
,Algeria,28.0339,1.6596,30-03-2020,584,DZA,2,15,
,Algeria,28.0339,1.6596,29-03-2020,511,DZA,2,15,
,Algeria,28.0339,1.6596,28-03-2020,454,DZA,2,15,
,Algeria,28.0339,1.6596,27-03-2020,409,DZA,2,15,
,Algeria,28.0339,1.6596,26-03-2020,367,DZA,2,15,
,Algeria,28.0339,1.6596,25-03-2020,302,DZA,2,15,
,Algeria,28.0339,1.6596,24-03-2020,264,DZA,2,15,
,Algeria,28.0339,1.6596,23-03-2020,230,DZA,2,15,
,Algeria,28.0339,1.6596,22-03-2020,201,DZA,2,15,
,Algeria,28.0339,1.6596,21-03-2020,139,DZA,2,15,
,Algeria,28.0339,1.6596,20-03-2020,90,DZA,2,15,
,Algeria,28.0339,1.6596,19-03-2020,87,DZA,2,15,
,Algeria,28.0339,1.6596,18-03-2020,74,DZA,2,15,
,Algeria,28.0339,1.6596,17-03-2020,60,DZA,2,15,
,Algeria,28.0339,1.6596,16-03-2020,54,DZA,2,15,
,Algeria,28.0339,1.6596,15-03-2020,48,DZA,2,15,
,Algeria,28.0339,1.6596,14-03-2020,37,DZA,2,15,
,Algeria,28.0339,1.6596,13-03-2020,26,DZA,2,15,
,Algeria,28.0339,1.6596,12-03-2020,24,DZA,2,15,
,Algeria,28.0339,1.6596,11-03-2020,20,DZA,2,15,
,Algeria,28.0339,1.6596,10-03-2020,20,DZA,2,15,
,Algeria,28.0339,1.6596,09-03-2020,20,DZA,2,15,
,Algeria,28.0339,1.6596,08-03-2020,19,DZA,2,15,
,Algeria,28.0339,1.6596,07-03-2020,17,DZA,2,15,
,Algeria,28.0339,1.6596,06-03-2020,17,DZA,2,15,
,Algeria,28.0339,1.6596,05-03-2020,12,DZA,2,15,
,Algeria,28.0339,1.6596,04-03-2020,12,DZA,2,15,
,Algeria,28.0339,1.6596,03-03-2020,5,DZA,2,15,
,Algeria,28.0339,1.6596,02-03-2020,3,DZA,2,15,
,Algeria,28.0339,1.6596,01-03-2020,1,DZA,2,15,
,Algeria,28.0339,1.6596,29-02-2020,1,DZA,2,15,
,Algeria,28.0339,1.6596,28-02-2020,1,DZA,2,15,
,Algeria,28.0339,1.6596,27-02-2020,1,DZA,2,15,
,Algeria,28.0339,1.6596,26-02-2020,1,DZA,2,15,
,Algeria,28.0339,1.6596,25-02-2020,1,DZA,2,15,
,Algeria,28.0339,1.6596,24-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,23-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,22-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,21-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,20-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,19-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,18-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,17-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,16-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,15-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,14-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,13-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,12-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,11-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,10-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,09-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,08-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,07-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,06-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,05-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,04-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,03-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,02-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,01-02-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,31-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,30-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,29-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,28-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,27-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,26-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,25-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,24-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,23-01-2020,0,DZA,2,15,
,Algeria,28.0339,1.6596,22-01-2020,0,DZA,2,15,
,Andorra,42.5063,1.5218,15-05-2020,761,AND,150,39,
,Andorra,42.5063,1.5218,14-05-2020,761,AND,150,39,
,Andorra,42.5063,1.5218,13-05-2020,760,AND,150,39,
,Andorra,42.5063,1.5218,12-05-2020,758,AND,150,39,
,Andorra,42.5063,1.5218,11-05-2020,755,AND,150,39,
,Andorra,42.5063,1.5218,10-05-2020,755,AND,150,39,
,Andorra,42.5063,1.5218,09-05-2020,754,AND,150,39,
,Andorra,42.5063,1.5218,08-05-2020,752,AND,150,39,
,Andorra,42.5063,1.5218,07-05-2020,752,AND,150,39,
,Andorra,42.5063,1.5218,06-05-2020,751,AND,150,39,
,Andorra,42.5063,1.5218,05-05-2020,751,AND,150,39,
,Andorra,42.5063,1.5218,04-05-2020,750,AND,150,39,
,Andorra,42.5063,1.5218,03-05-2020,748,AND,150,39,
,Andorra,42.5063,1.5218,02-05-2020,747,AND,150,39,
,Andorra,42.5063,1.5218,01-05-2020,745,AND,150,39,
,Andorra,42.5063,1.5218,30-04-2020,745,AND,150,39,
,Andorra,42.5063,1.5218,29-04-2020,743,AND,150,39,
,Andorra,42.5063,1.5218,28-04-2020,743,AND,150,39,
,Andorra,42.5063,1.5218,27-04-2020,743,AND,150,39,
,Andorra,42.5063,1.5218,26-04-2020,738,AND,150,39,
,Andorra,42.5063,1.5218,25-04-2020,738,AND,150,39,
,Andorra,42.5063,1.5218,24-04-2020,731,AND,150,39,
,Andorra,42.5063,1.5218,23-04-2020,723,AND,150,39,
,Andorra,42.5063,1.5218,22-04-2020,723,AND,150,39,
,Andorra,42.5063,1.5218,21-04-2020,717,AND,150,39,
,Andorra,42.5063,1.5218,20-04-2020,717,AND,150,39,
,Andorra,42.5063,1.5218,19-04-2020,713,AND,150,39,
,Andorra,42.5063,1.5218,18-04-2020,704,AND,150,39,
,Andorra,42.5063,1.5218,17-04-2020,696,AND,150,39,
,Andorra,42.5063,1.5218,16-04-2020,673,AND,150,39,
,Andorra,42.5063,1.5218,15-04-2020,673,AND,150,39,
,Andorra,42.5063,1.5218,14-04-2020,659,AND,150,39,
,Andorra,42.5063,1.5218,13-04-2020,646,AND,150,39,
,Andorra,42.5063,1.5218,12-04-2020,638,AND,150,39,
,Andorra,42.5063,1.5218,11-04-2020,601,AND,150,39,
,Andorra,42.5063,1.5218,10-04-2020,601,AND,150,39,
,Andorra,42.5063,1.5218,09-04-2020,583,AND,150,39,
,Andorra,42.5063,1.5218,08-04-2020,564,AND,150,39,
,Andorra,42.5063,1.5218,07-04-2020,545,AND,150,39,
,Andorra,42.5063,1.5218,06-04-2020,525,AND,150,39,
,Andorra,42.5063,1.5218,05-04-2020,501,AND,150,39,
,Andorra,42.5063,1.5218,04-04-2020,466,AND,150,39,
,Andorra,42.5063,1.5218,03-04-2020,439,AND,150,39,
,Andorra,42.5063,1.5218,02-04-2020,428,AND,150,39,
,Andorra,42.5063,1.5218,01-04-2020,390,AND,150,39,
,Andorra,42.5063,1.5218,31-03-2020,376,AND,150,39,
,Andorra,42.5063,1.5218,30-03-2020,370,AND,150,39,
,Andorra,42.5063,1.5218,29-03-2020,334,AND,150,39,
,Andorra,42.5063,1.5218,28-03-2020,308,AND,150,39,
,Andorra,42.5063,1.5218,27-03-2020,267,AND,150,39,
,Andorra,42.5063,1.5218,26-03-2020,224,AND,150,39,
,Andorra,42.5063,1.5218,25-03-2020,188,AND,150,39,
,Andorra,42.5063,1.5218,24-03-2020,164,AND,150,39,
,Andorra,42.5063,1.5218,23-03-2020,133,AND,150,39,
,Andorra,42.5063,1.5218,22-03-2020,113,AND,150,39,
,Andorra,42.5063,1.5218,21-03-2020,88,AND,150,39,
,Andorra,42.5063,1.5218,20-03-2020,75,AND,150,39,
,Andorra,42.5063,1.5218,19-03-2020,53,AND,150,39,
,Andorra,42.5063,1.5218,18-03-2020,39,AND,150,39,
,Andorra,42.5063,1.5218,17-03-2020,39,AND,150,39,
,Andorra,42.5063,1.5218,16-03-2020,2,AND,150,39,
,Andorra,42.5063,1.5218,15-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,14-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,13-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,12-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,11-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,10-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,09-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,08-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,07-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,06-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,05-03-2020,1,AND,150,39,
,Andorra,42.5063,1.5218,04-03-2020,1,AND,150,39,
